Bow_000;0,6;25,34;134,70
Bow_001;25,6;31,34;134,70
Bow_002;56,6;29,34;136,70
Bow_003;85,6;26,34;139,70
Bow_004;111,6;36,34;129,70
Bow_005;147,6;37,34;128,70
Bow_006;184,6;37,34;128,70
Bow_007;221,6;35,34;128,70
Bow_008;256,6;35,34;128,70
Bow_009;291,6;35,34;128,70
Bow_010;326,6;33,34;128,70
Bow_011;359,6;30,34;130,70
Bow_012;389,1;29,39;130,65
Bow_013;418,1;27,39;132,65
Bow_014;445,1;37,39;122,65
Bow_015;482,0;30,40;132,64
Bow_016;512,4;27,36;133,68
Bow_017;539,6;24,34;136,70
Bow_018;563,6;24,34;136,70
Bow_019;587,6;24,34;136,70
Bow_020;611,3;42,37;123,67
Bow_021;653,2;41,38;124,66
Bow_022;694,6;37,34;126,70
Bow_023;731,4;39,36;124,68
Bow_024;770,3;38,37;125,67
Bow_025;808,6;36,34;127,70
Bow_026;844,3;38,37;136,70
Bow_027;882,7;33,33;141,75
